datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,PJME,30868
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,PJMW,5485
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,AEP,13997
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,DUQ,1572
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,DOM,11133
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,COMED,10851
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,DAYTON,1882
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,FE,7366
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,DEOK,3051
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,EKPC,1516
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,PJME,31442
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,PJMW,5647
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,AEP,13962
